asct_label,phenotype_label,gene_label,gene_expr,publication_count,asct,phenotype,gene
nephron tubule,Nephropathy,MT-CO3,207.47375,43,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,207.47375,28,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
renal medulla,Nephropathy,MT-CO3,207.47375,24,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,207.47375,23,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
renal medulla,Nephropathy,MT-CO3,207.47375,20,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,207.47375,16,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,207.47375,16,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
renal medulla,Renal insufficiency,MT-CO3,207.47375,14,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0000083,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,207.47375,11,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,207.47375,11,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
renal medulla,Focal segmental glomerulosclerosis,MT-CO3,207.47375,10,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,207.47375,8,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
renal medulla,Nephropathy,MT-CO3,207.47375,3,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,207.47375,3,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
renal medulla,Nephropathy,MT-CO3,207.47375,2,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,207.47375,2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
renal medulla,Nephropathy,MT-CO3,207.47375,1,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,207.47375,1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO2,188.47351,1986,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,188.47351,1719,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,188.47351,1535,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Focal segmental glomerulosclerosis,MT-CO2,188.47351,1317,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,188.47351,763,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,188.47351,645,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,188.47351,469,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,188.47351,359,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,188.47351,266,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,188.47351,225,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Focal segmental glomerulosclerosis,MT-CO2,188.47351,154,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,188.47351,145,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,188.47351,136,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,188.47351,79,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,188.47351,56,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Focal segmental glomerulosclerosis,MT-CO2,188.47351,44,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,188.47351,43,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,188.47351,28,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,188.47351,23,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,188.47351,16,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,188.47351,16,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,188.47351,11,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,188.47351,11,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,188.47351,8,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,188.47351,3,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,188.47351,2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,188.47351,1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Acute kidney injury,MT-CO3,166.96895,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/7422
kidney,Renal insufficiency,MT-CO3,166.96895,2890,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000083,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,166.96895,1986,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Acute kidney injury,MT-CO3,166.96895,1762,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,166.96895,1719,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,166.96895,1535,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Focal segmental glomerulosclerosis,MT-CO3,166.96895,1317,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,166.96895,763,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,166.96895,645,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,166.96895,469,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,166.96895,359,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,166.96895,266,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,166.96895,225,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Renal insufficiency,MT-CO3,166.96895,184,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000083,http://identifiers.org/hgnc/7422
nephron,Acute kidney injury,MT-CO3,166.96895,164,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/7422
nephron tubule,Focal segmental glomerulosclerosis,MT-CO3,166.96895,154,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,166.96895,145,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,166.96895,136,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,166.96895,79,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,166.96895,56,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Renal insufficiency,MT-CO3,166.96895,54,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000083,http://identifiers.org/hgnc/7422
nephron,Focal segmental glomerulosclerosis,MT-CO3,166.96895,44,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,166.96895,43,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,166.96895,28,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,166.96895,23,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,166.96895,16,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,166.96895,16,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,166.96895,11,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,166.96895,11,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,166.96895,8,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,166.96895,3,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,166.96895,2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Nephropathy,MT-CO3,166.96895,1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Acute kidney injury,MT-CO3,146.651,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/7422
kidney,Renal insufficiency,MT-CO3,146.651,2890,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000083,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,146.651,1986,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Acute kidney injury,MT-CO3,146.651,1762,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,146.651,1719,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,146.651,1535,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Focal segmental glomerulosclerosis,MT-CO3,146.651,1317,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,146.651,763,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,146.651,645,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,146.651,469,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
