asct_label,phenotype_label,gene_label,gene_expr,publication_count,asct,phenotype,gene
kidney,Chronic kidney disease,ALDOB,237.78284,6355,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0012622,http://identifiers.org/hgnc/417
kidney,Renal insufficiency,ALDOB,237.78284,2890,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000083,http://identifiers.org/hgnc/417
kidney,Proximal renal tubular acidosis,ALDOB,237.78284,397,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0002049,http://identifiers.org/hgnc/417
nephron tubule,Chronic kidney disease,ALDOB,237.78284,335,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0012622,http://identifiers.org/hgnc/417
nephron tubule,Proximal renal tubular acidosis,ALDOB,237.78284,265,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0002049,http://identifiers.org/hgnc/417
nephron tubule,Renal insufficiency,ALDOB,237.78284,184,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000083,http://identifiers.org/hgnc/417
nephron,Chronic kidney disease,ALDOB,237.78284,114,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0012622,http://identifiers.org/hgnc/417
nephron,Renal insufficiency,ALDOB,237.78284,54,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000083,http://identifiers.org/hgnc/417
renal medulla,Proximal renal tubular acidosis,ALDOB,237.78284,32,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0002049,http://identifiers.org/hgnc/417
nephron,Proximal renal tubular acidosis,ALDOB,237.78284,23,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0002049,http://identifiers.org/hgnc/417
renal medulla,Chronic kidney disease,ALDOB,237.78284,22,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0012622,http://identifiers.org/hgnc/417
renal medulla,Renal insufficiency,ALDOB,237.78284,14,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0000083,http://identifiers.org/hgnc/417
kidney,Nephropathy,MT-CO2,229.178,1986,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,229.178,1719,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,229.178,1535,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Focal segmental glomerulosclerosis,MT-CO2,229.178,1317,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,229.178,763,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,229.178,645,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,229.178,469,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,229.178,359,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,229.178,266,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,229.178,225,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Focal segmental glomerulosclerosis,MT-CO2,229.178,154,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,229.178,145,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,229.178,136,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,229.178,79,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,229.178,56,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Focal segmental glomerulosclerosis,MT-CO2,229.178,44,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,229.178,43,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,229.178,28,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,229.178,23,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron tubule,Nephropathy,MT-CO2,229.178,16,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,229.178,16,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,229.178,11,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Nephropathy,MT-CO2,229.178,11,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,229.178,8,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,229.178,3,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,229.178,2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
nephron,Nephropathy,MT-CO2,229.178,1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7421
kidney,Acute kidney injury,MT-CO3,207.47375,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/7422
kidney,Renal insufficiency,MT-CO3,207.47375,2890,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000083,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,207.47375,1986,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Acute kidney injury,MT-CO3,207.47375,1762,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,207.47375,1719,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,207.47375,1535,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Focal segmental glomerulosclerosis,MT-CO3,207.47375,1317,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,207.47375,763,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,207.47375,645,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,207.47375,469,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,207.47375,359,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,207.47375,266,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,207.47375,225,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Renal insufficiency,MT-CO3,207.47375,184,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000083,http://identifiers.org/hgnc/7422
nephron,Acute kidney injury,MT-CO3,207.47375,164,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/7422
renal medulla,Acute kidney injury,MT-CO3,207.47375,155,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/7422
nephron tubule,Focal segmental glomerulosclerosis,MT-CO3,207.47375,154,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,207.47375,145,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,207.47375,136,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
kidney,Nephropathy,MT-CO3,207.47375,79,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron tubule,Nephropathy,MT-CO3,207.47375,56,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0000112,http://identifiers.org/hgnc/7422
nephron,Renal insufficiency,MT-CO3,207.47375,54,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000083,http://identifiers.org/hgnc/7422
nephron,Focal segmental glomerulosclerosis,MT-CO3,207.47375,44,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0000097,http://identifiers.org/hgnc/7422
