mean_gene_expr,gene,ct,as,phenotype,gene_label,ct_label,as_label,phenotype_label,num_sources
5.4554906,http://identifiers.org/hgnc/17175,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000097,PLCE1,podocyte,renal glomerulus,Focal segmental glomerulosclerosis,2
5.4554906,http://identifiers.org/hgnc/17175,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000100,PLCE1,podocyte,renal glomerulus,Nephrotic syndrome,2
5.4554906,http://identifiers.org/hgnc/17175,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0001967,PLCE1,podocyte,renal glomerulus,Diffuse mesangial sclerosis,2
5.4554906,http://identifiers.org/hgnc/17175,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0003774,PLCE1,podocyte,renal glomerulus,Stage 5 chronic kidney disease,2
5.4554906,http://identifiers.org/hgnc/17175,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012579,PLCE1,podocyte,renal glomerulus,Minimal change glomerulonephritis,2
5.4554906,http://identifiers.org/hgnc/17175,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012622,PLCE1,podocyte,renal glomerulus,Chronic kidney disease,2
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000083,COL4A3,podocyte,renal glomerulus,Renal insufficiency,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000123,COL4A3,podocyte,renal glomerulus,Nephritis,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000097,COL4A3,podocyte,renal glomerulus,Focal segmental glomerulosclerosis,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000099,COL4A3,podocyte,renal glomerulus,Glomerulonephritis,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000100,COL4A3,podocyte,renal glomerulus,Nephrotic syndrome,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000121,COL4A3,podocyte,renal glomerulus,Nephrocalcinosis,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000790,COL4A3,podocyte,renal glomerulus,Hematuria,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0001967,COL4A3,podocyte,renal glomerulus,Diffuse mesangial sclerosis,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0002907,COL4A3,podocyte,renal glomerulus,Microscopic hematuria,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0003774,COL4A3,podocyte,renal glomerulus,Stage 5 chronic kidney disease,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0004722,COL4A3,podocyte,renal glomerulus,Thickened glomerular basement membrane,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012577,COL4A3,podocyte,renal glomerulus,Thin glomerular basement membrane,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012579,COL4A3,podocyte,renal glomerulus,Minimal change glomerulonephritis,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012622,COL4A3,podocyte,renal glomerulus,Chronic kidney disease,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0030034,COL4A3,podocyte,renal glomerulus,Glomerular basement membrane lamellation,1
5.045322,http://identifiers.org/hgnc/2204,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0033282,COL4A3,podocyte,renal glomerulus,Abnormal glomerular basement membrane morphology,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000083,WT1,podocyte,renal glomerulus,Renal insufficiency,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000085,WT1,podocyte,renal glomerulus,Horseshoe kidney,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000086,WT1,podocyte,renal glomerulus,Ectopic kidney,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000105,WT1,podocyte,renal glomerulus,Enlarged kidney,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000097,WT1,podocyte,renal glomerulus,Focal segmental glomerulosclerosis,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000100,WT1,podocyte,renal glomerulus,Nephrotic syndrome,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000112,WT1,podocyte,renal glomerulus,Nephropathy,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0001967,WT1,podocyte,renal glomerulus,Diffuse mesangial sclerosis,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0002667,WT1,podocyte,renal glomerulus,Nephroblastoma,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0002907,WT1,podocyte,renal glomerulus,Microscopic hematuria,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0003774,WT1,podocyte,renal glomerulus,Stage 5 chronic kidney disease,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0004736,WT1,podocyte,renal glomerulus,Crossed fused renal ectopia,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0005580,WT1,podocyte,renal glomerulus,Duplication of renal pelvis,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012579,WT1,podocyte,renal glomerulus,Minimal change glomerulonephritis,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012587,WT1,podocyte,renal glomerulus,Macroscopic hematuria,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012622,WT1,podocyte,renal glomerulus,Chronic kidney disease,1
4.7895775,http://identifiers.org/hgnc/12796,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0100820,WT1,podocyte,renal glomerulus,Glomerulopathy,1
4.7202177,http://identifiers.org/hgnc/13394,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000097,NPHS2,podocyte,renal glomerulus,Focal segmental glomerulosclerosis,2
4.7202177,http://identifiers.org/hgnc/13394,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000100,NPHS2,podocyte,renal glomerulus,Nephrotic syndrome,2
4.7202177,http://identifiers.org/hgnc/13394,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0001967,NPHS2,podocyte,renal glomerulus,Diffuse mesangial sclerosis,2
4.7202177,http://identifiers.org/hgnc/13394,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0003774,NPHS2,podocyte,renal glomerulus,Stage 5 chronic kidney disease,2
4.7202177,http://identifiers.org/hgnc/13394,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012579,NPHS2,podocyte,renal glomerulus,Minimal change glomerulonephritis,2
4.7202177,http://identifiers.org/hgnc/13394,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012622,NPHS2,podocyte,renal glomerulus,Chronic kidney disease,2
4.562447,http://identifiers.org/hgnc/7154,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000083,MME,podocyte,renal glomerulus,Renal insufficiency,2
4.562447,http://identifiers.org/hgnc/7154,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000099,MME,podocyte,renal glomerulus,Glomerulonephritis,2
4.562447,http://identifiers.org/hgnc/7154,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000100,MME,podocyte,renal glomerulus,Nephrotic syndrome,2
4.562447,http://identifiers.org/hgnc/7154,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0030949,MME,podocyte,renal glomerulus,Glomerular deposits,2
3.8680112,http://identifiers.org/hgnc/7908,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000083,NPHS1,podocyte,renal glomerulus,Renal insufficiency,2
3.8680112,http://identifiers.org/hgnc/7908,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000091,NPHS1,podocyte,renal glomerulus,Abnormal renal tubule morphology,2
3.8680112,http://identifiers.org/hgnc/7908,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000092,NPHS1,podocyte,renal glomerulus,Renal tubular atrophy,2
3.8680112,http://identifiers.org/hgnc/7908,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000096,NPHS1,podocyte,renal glomerulus,Glomerular sclerosis,2
3.8680112,http://identifiers.org/hgnc/7908,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000097,NPHS1,podocyte,renal glomerulus,Focal segmental glomerulosclerosis,2
3.8680112,http://identifiers.org/hgnc/7908,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000100,NPHS1,podocyte,renal glomerulus,Nephrotic syndrome,2
3.8680112,http://identifiers.org/hgnc/7908,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0001967,NPHS1,podocyte,renal glomerulus,Diffuse mesangial sclerosis,2
3.8680112,http://identifiers.org/hgnc/7908,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0003774,NPHS1,podocyte,renal glomerulus,Stage 5 chronic kidney disease,2
3.8680112,http://identifiers.org/hgnc/7908,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0008677,NPHS1,podocyte,renal glomerulus,Congenital nephrotic syndrome,2
3.8680112,http://identifiers.org/hgnc/7908,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012579,NPHS1,podocyte,renal glomerulus,Minimal change glomerulonephritis,2
3.8680112,http://identifiers.org/hgnc/7908,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012622,NPHS1,podocyte,renal glomerulus,Chronic kidney disease,2
3.642219,http://identifiers.org/hgnc/10910,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000103,SLC12A1,podocyte,renal glomerulus,Polyuria,1
3.642219,http://identifiers.org/hgnc/10910,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000111,SLC12A1,podocyte,renal glomerulus,Renal juxtaglomerular cell hypertrophy/hyperplasia,1
3.642219,http://identifiers.org/hgnc/10910,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000121,SLC12A1,podocyte,renal glomerulus,Nephrocalcinosis,1
3.2944376,http://identifiers.org/hgnc/144,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000126,ACTG1,podocyte,renal glomerulus,Hydronephrosis,1
2.7666197,http://identifiers.org/hgnc/132,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000126,ACTB,podocyte,renal glomerulus,Hydronephrosis,1
2.7136908,http://identifiers.org/hgnc/4932,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000083,HLA-B,podocyte,renal glomerulus,Renal insufficiency,1
2.7136908,http://identifiers.org/hgnc/4932,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000099,HLA-B,podocyte,renal glomerulus,Glomerulonephritis,1
2.7136908,http://identifiers.org/hgnc/4932,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000790,HLA-B,podocyte,renal glomerulus,Hematuria,1
2.7136908,http://identifiers.org/hgnc/4932,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0001920,HLA-B,podocyte,renal glomerulus,Renal artery stenosis,1
2.7136908,http://identifiers.org/hgnc/4932,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0100820,HLA-B,podocyte,renal glomerulus,Glomerulopathy,1
2.6390262,http://identifiers.org/hgnc/9352,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000083,PRDX1,podocyte,renal glomerulus,Renal insufficiency,1
2.6390262,http://identifiers.org/hgnc/9352,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000112,PRDX1,podocyte,renal glomerulus,Nephropathy,1
2.6390262,http://identifiers.org/hgnc/9352,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000790,PRDX1,podocyte,renal glomerulus,Hematuria,1
2.6390262,http://identifiers.org/hgnc/9352,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0001919,PRDX1,podocyte,renal glomerulus,Acute kidney injury,1
2.6390262,http://identifiers.org/hgnc/9352,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0005575,PRDX1,podocyte,renal glomerulus,Hemolytic-uremic syndrome,1
2.488471,http://identifiers.org/hgnc/2500,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000083,CCN2,podocyte,renal glomerulus,Renal insufficiency,1
2.488471,http://identifiers.org/hgnc/2500,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0100520,CCN2,podocyte,renal glomerulus,Oliguria,1
2.3977103,http://identifiers.org/hgnc/26256,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000104,NDNF,podocyte,renal glomerulus,Renal agenesis,1
2.3671472,http://identifiers.org/hgnc/6139,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000083,ITGA3,podocyte,renal glomerulus,Renal insufficiency,1
2.3671472,http://identifiers.org/hgnc/6139,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000092,ITGA3,podocyte,renal glomerulus,Renal tubular atrophy,1
2.3671472,http://identifiers.org/hgnc/6139,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000097,ITGA3,podocyte,renal glomerulus,Focal segmental glomerulosclerosis,1
2.3671472,http://identifiers.org/hgnc/6139,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000100,ITGA3,podocyte,renal glomerulus,Nephrotic syndrome,1
2.3671472,http://identifiers.org/hgnc/6139,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012213,ITGA3,podocyte,renal glomerulus,Decreased glomerular filtration rate,1
2.3358164,http://identifiers.org/hgnc/11362,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0001920,STAT1,podocyte,renal glomerulus,Renal artery stenosis,1
2.3358164,http://identifiers.org/hgnc/11362,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0100817,STAT1,podocyte,renal glomerulus,Renovascular hypertension,1
2.1096773,http://identifiers.org/hgnc/6487,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000083,LAMB2,podocyte,renal glomerulus,Renal insufficiency,1
2.1096773,http://identifiers.org/hgnc/6487,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0012574,LAMB2,podocyte,renal glomerulus,Mesangial hypercellularity,1
2.1096773,http://identifiers.org/hgnc/6487,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000097,LAMB2,podocyte,renal glomerulus,Focal segmental glomerulosclerosis,1
2.1096773,http://identifiers.org/hgnc/6487,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000099,LAMB2,podocyte,renal glomerulus,Glomerulonephritis,1
2.1096773,http://identifiers.org/hgnc/6487,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000100,LAMB2,podocyte,renal glomerulus,Nephrotic syndrome,1
2.1096773,http://identifiers.org/hgnc/6487,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/UBERON_0000074,http://purl.obolibrary.org/obo/HP_0000790,LAMB2,podocyte,renal glomerulus,Hematuria,1
