asct_label,phenotype_label,gene_label,gene_expr,publication_count,asct,phenotype,gene
kidney,Acute kidney injury,IGFBP7,48.598885,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/5476
nephron tubule,Acute kidney injury,IGFBP7,48.598885,1762,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/5476
nephron,Acute kidney injury,IGFBP7,48.598885,164,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/5476
kidney,Acute kidney injury,IGFBP7,24.4,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/5476
kidney,Acute kidney injury,B2M,23.835205,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
nephron tubule,Acute kidney injury,B2M,23.835205,1762,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
nephron,Acute kidney injury,B2M,23.835205,164,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
kidney,Acute kidney injury,SPP1,23.696898,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/11255
kidney,Acute kidney injury,B2M,13.531663,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
collecting duct of renal tubule,Acute kidney injury,B2M,13.531663,27,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
kidney,Acute kidney injury,S100A6,12.435766,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/10496
kidney,Acute kidney injury,IGFBP7,9.901171,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/5476
collecting duct of renal tubule,Acute kidney injury,IGFBP7,9.901171,27,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/5476
kidney,Acute kidney injury,B2M,8.429864,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
kidney,Acute kidney injury,B2M,7.2213826,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
nephron tubule,Acute kidney injury,B2M,7.2213826,1762,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
nephron,Acute kidney injury,B2M,7.2213826,164,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
kidney,Acute kidney injury,IGFBP7,6.7212057,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/5476
nephron tubule,Acute kidney injury,IGFBP7,6.7212057,1762,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/5476
nephron,Acute kidney injury,IGFBP7,6.7212057,164,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/5476
kidney,Acute kidney injury,B2M,6.1496983,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
kidney,Acute kidney injury,CST3,6.1031485,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/2475
renal medulla,Acute kidney injury,CST3,6.1031485,155,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/2475
collecting duct of renal tubule,Acute kidney injury,CST3,6.1031485,27,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/2475
kidney,Acute kidney injury,B2M,5.423519,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
kidney,Acute kidney injury,S100A6,5.4045143,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/10496
renal medulla,Acute kidney injury,S100A6,5.4045143,155,http://purl.obolibrary.org/obo/UBERON_0000362,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/10496
collecting duct of renal tubule,Acute kidney injury,S100A6,5.4045143,27,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/10496
kidney,Acute kidney injury,B2M,5.211851,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
nephron tubule,Acute kidney injury,B2M,5.211851,1762,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
nephron,Acute kidney injury,B2M,5.211851,164,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
kidney,Acute kidney injury,S100A6,5.0418673,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/10496
kidney,Acute kidney injury,B2M,4.883763,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
nephron tubule,Acute kidney injury,B2M,4.883763,1762,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
nephron,Acute kidney injury,B2M,4.883763,164,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
kidney,Acute kidney injury,B2M,4.817236,10827,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/HP_0001919,http://identifiers.org/hgnc/914
