subject,predicate,object,source
http://id.nlm.nih.gov/mesh/D000141,http://www.w3.org/2004/02/skos/core#broadMatch,http://purl.obolibrary.org/obo/HP_0008341,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D000141,http://www.w3.org/2004/02/skos/core#broadMatch,http://purl.obolibrary.org/obo/HP_0002049,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D002292,http://www.w3.org/2004/02/skos/core#broadMatch,http://purl.obolibrary.org/obo/HP_0006770,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D002292,http://www.w3.org/2004/02/skos/core#broadMatch,http://purl.obolibrary.org/obo/DOID_4471,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D002292,http://www.w3.org/2004/02/skos/core#broadMatch,http://purl.obolibrary.org/obo/HP_0006766,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D002292,http://www.w3.org/2004/02/skos/core#broadMatch,http://purl.obolibrary.org/obo/DOID_4473,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D002292,http://www.w3.org/2004/02/skos/core#broadMatch,http://purl.obolibrary.org/obo/DOID_4464,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D002292,http://www.w3.org/2004/02/skos/core#broadMatch,http://purl.obolibrary.org/obo/DOID_4467,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D002292,http://www.w3.org/2004/02/skos/core#broadMatch,http://purl.obolibrary.org/obo/DOID_4465,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D015432,http://www.w3.org/2004/02/skos/core#broadMatch,http://purl.obolibrary.org/obo/HP_0004746,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D000141,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/HP_0001947,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D000141,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/DOID_14219,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D000141,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/MONDO_0001909,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D000608,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/MONDO_0006944,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D001002,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/MONDO_0002476,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D001002,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/HP_0100519,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D001002,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/DOID_2983,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D001449,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/MONDO_0007416,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D001449,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/DOID_3052,https://purl.humanatlas.io/graph/hra-lit
http://id.nlm.nih.gov/mesh/D001477,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/MONDO_0015231,https://purl.humanatlas.io/graph/hra-lit
