subject,predicate,object,source
http://purl.obolibrary.org/obo/CL_1000695,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_1000849,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_0002306,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_0000084,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_1001106,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_1001432,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0001232,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_1000692,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_1000768,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_1001431,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0001232,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_0000115,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0001986,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_0000236,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_0000113,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_0000653,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_1000452,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0001229,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_0000097,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_0000451,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_0000786,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_0000576,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_1000909,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_1001318,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_0000775,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_1000597,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0001228,https://purl.humanatlas.io/collection/hra
http://purl.obolibrary.org/obo/CL_0002319,http://purl.org/ccf/ccf_located_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/collection/hra
