subject,predicate,object,category,knowledge_level,agent_type,primary_knowledge_source,gene_expr
CL:1000597,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001005,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030013,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030016,biolink:located_in,UBERON:0001228,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000990,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0001058,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000412,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000452,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000714,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000717,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001005,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001318,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030011,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030013,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030018,biolink:located_in,UBERON:0001284,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000236,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000653,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000990,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0002201,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000452,biolink:located_in,UBERON:0002015,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000814,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0011031,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000597,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1000850,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:1001005,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:4030018,biolink:located_in,UBERON:0002113,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000653,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0000814,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
CL:0001058,biolink:located_in,UBERON:0002189,biolink:CellToAnatomicalEntityAssociation,statistical_association,automated_agent,https://purl.humanatlas.io/graph/hra-pop,
