id,name,category,provided_by
HP:0001919,Acute kidney injury,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000114,Proximal tubulopathy,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0002049,Proximal renal tubular acidosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008678,Renal hypoplasia/aplasia,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004736,Crossed fused renal ectopia,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005562,Multiple renal cysts,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000123,Nephritis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0001917,Renal amyloidosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0002907,Microscopic hematuria,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000799,Renal steatosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0100820,Glomerulopathy,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012574,Mesangial hypercellularity,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0100520,Oliguria,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000791,Uric acid nephrolithiasis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012587,Macroscopic hematuria,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000099,Glomerulonephritis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000103,Polyuria,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0100817,Renovascular hypertension,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012408,Medullary nephrocalcinosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012409,Cortical nephrocalcinosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012577,Thin glomerular basement membrane,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0030760,Renal fibrosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000122,Unilateral renal agenesis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000113,Polycystic kidney dysplasia,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0009726,Renal neoplasm,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000124,Renal tubular dysfunction,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000104,Renal agenesis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000085,Horseshoe kidney,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0010946,Dilatation of the renal pelvis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012210,Abnormal renal morphology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000112,Nephropathy,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0001970,Tubulointerstitial nephritis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0001994,Renal Fanconi syndrome,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005575,Hemolytic-uremic syndrome,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0033726,Lupus nephritis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0100542,Abnormal localization of kidney,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000086,Ectopic kidney,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005580,Duplication of renal pelvis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000793,Membranoproliferative glomerulonephritis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008341,Distal renal tubular acidosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0033295,Mesangial Immune complex deposition,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004722,Thickened glomerular basement membrane,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0033485,Glomerular basement membrane disruption,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012211,Abnormal renal physiology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0006772,Renal angiomyolipoma,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000803,Renal cortical cysts,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012584,Bilateral renal hypoplasia,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012624,Stage 2 chronic kidney disease,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0010945,Fetal pyelectasis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000096,Glomerular sclerosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000092,Renal tubular atrophy,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004727,Impaired renal concentrating ability,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005579,Impaired renal tubular reabsorption of chloride,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0033282,Abnormal glomerular basement membrane morphology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0030034,Glomerular basement membrane lamellation,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000794,IgA deposition in the glomerulus,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008653,Crescentic glomerulonephritis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008682,Renal tubular epithelial necrosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000800,Cystic renal dysplasia,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0001969,Abnormal tubulointerstitial morphology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:6001031,Cystine nephrolithiasis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000125,Pelvic kidney,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0011036,Abnormality of renal excretion,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000075,Renal duplication,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004910,Bicarbonate-wasting renal tubular acidosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012330,Pyelonephritis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0031266,Podocyte foot process effacement,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012588,Steroid-resistant nephrotic syndrome,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0100581,Dilatation of renal calices,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004742,Abnormal renal collecting system morphology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004712,Renal malrotation,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0009741,Nephrosclerosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0011129,Bilateral fetal pyelectasis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0006732,Papillary renal cell carcinoma type 2,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0006766,Papillary renal cell carcinoma,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0030949,Glomerular deposits,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:6000428,Glomerular fibronectin deposits,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0001966,Abnormal glomerular mesangium morphology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0030162,Glomerulomegaly,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005572,Decreased renal tubular phosphate excretion,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005571,Increased renal tubular phosphate reabsorption,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008718,Unilateral renal dysplasia,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0034359,Impaired renal tubular reabsorption of phosphate,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0010958,Bilateral renal agenesis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000091,Abnormal renal tubule morphology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008738,Partially duplicated kidney,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0032614,Renal glomerular amyloid deposition,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004746,Glomerular subendothelial electron-dense deposits,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0034231,Sigmoid kidney,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0030409,Renal transitional cell carcinoma,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012583,Unilateral renal hypoplasia,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005564,Absence of renal corticomedullary differentiation,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012578,Membranous nephropathy,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000111,Renal juxtaglomerular cell hypertrophy/hyperplasia,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008677,Congenital nephrotic syndrome,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0032582,Renal interstitial foam cells,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005574,Non-acidotic proximal tubulopathy,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0011126,Nephroptosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000804,Xanthine nephrolithiasis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012573,Global proximal tubulopathy,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0100611,Multiple glomerular cysts,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000108,Renal corticomedullary cysts,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0002048,Renal cortical atrophy,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004732,Impaired renal uric acid clearance,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005583,Tubular basement membrane disintegration,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0033132,Renal cortical hyperechogenicity,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0100957,Abnormal renal medulla morphology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000090,Nephronophthisis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0020132,Thickening of the tubular basement membrane,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012585,Renal atrophy,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005563,Decreased numbers of nephrons,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0025361,Abnormal medullary pyramid morphology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004734,Renal cortical microcysts,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012625,Stage 3 chronic kidney disease,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012626,Stage 4 chronic kidney disease,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0031033,Impaired urinary acidification,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0030036,Isothenuria,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0034402,Rhabdoid tumor of the kidney,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012582,Bilateral renal dysplasia,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0032622,Tubular luminal dilatation,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0032948,Renal interstitial fibrosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008695,Transient nephrotic syndrome,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012623,Stage 1 chronic kidney disease,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004737,Global glomerulosclerosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:4000010,Impaired renal tubular reabsorption of bicarbonate,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012586,Bilateral renal atrophy,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004717,Axial malrotation of the kidney,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005932,Abnormal renal corticomedullary differentiation,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004724,Calcium nephrolithiasis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0041050,Renal tubular cyst,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0032945,Renal interstitial inflammation,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004743,Chronic tubulointerstitial nephritis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0032581,Abnormal renal insterstitial morphology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0033261,Renal artery aneurysm,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000095,Abnormal renal glomerulus morphology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0033759,Impaired renal tubular reabsorption of magnesium,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008651,Uric acid urolithiasis independent of gout,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0006770,Clear cell renal cell carcinoma,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0031684,Renal artery atherosclerosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0033601,Glomerular subepithelial immune-complex deposits,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0033867,Multilamellation of medullary peritubular capillary basement membranes,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0011038,Abnormal renal tubular resorption,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008696,Renal hamartoma,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0006735,Renal cortical adenoma,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008776,Abnormal renal artery morphology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0025005,Thickening of glomerular capillary wall,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0033493,Mesangial matrix expansion,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012576,Glomerular C3 deposition,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:6000746,Elevated fractional excretion of urate,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008643,Nephroblastomatosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0100880,Nephrogenic rest,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0032417,Periglomerular fibrosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0025650,Steroid-dependent nephrotic syndrome,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0011035,Abnormal renal cortex morphology,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
