id,name,category,provided_by
HP:0005576,Tubulointerstitial fibrosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012622,Chronic kidney disease,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000790,Hematuria,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000126,Hydronephrosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000003,Multicystic kidney dysplasia,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0003774,Stage 5 chronic kidney disease,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000097,Focal segmental glomerulosclerosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0004719,Hyperechogenic kidneys,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005565,Reduced renal corticomedullary differentiation,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0001967,Diffuse mesangial sclerosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012579,Minimal change glomerulonephritis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000787,Nephrolithiasis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000100,Nephrotic syndrome,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008659,Multiple small medullary renal cysts,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000089,Renal hypoplasia,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000081,Duplicated collecting system,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000110,Renal dysplasia,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0001947,Renal tubular acidosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0001920,Renal artery stenosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008660,Renotubular dysgenesis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0100519,Anuria,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0008672,Calcium oxalate nephrolithiasis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000083,Renal insufficiency,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000121,Nephrocalcinosis,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0012213,Decreased glomerular filtration rate,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0002667,Nephroblastoma,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000107,Renal cyst,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0000105,Enlarged kidney,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
HP:0005584,Renal cell carcinoma,biolink:PhenotypicFeature,https://purl.humanatlas.io/vocab/hp
