iri,label,type,source
http://identifiers.org/hgnc/10620,CCL21,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/8008,NRXN1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/11073,SLC9A3,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/11255,SPP1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/8951,SERPINE2,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/5986,IL18,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/15625,NBAS,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/11073,SLC9A3,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/11821,TIMP2,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/5476,IGFBP7,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/18643,SUGP1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/600,APOA1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/7176,MMP9,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/6149,ITGAM,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/18562,FEV,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/11757,TFF3,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/914,B2M,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/10496,S100A6,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/5962,IL10,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/6018,IL6,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/6025,CXCL8,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/6526,LCN2,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/17866,HAVCR1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/2475,CST3,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/10618,CCL2,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/3555,FABP1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0001919,Acute kidney injury,http://purl.obolibrary.org/obo/hp,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0012622,Chronic kidney disease,http://purl.obolibrary.org/obo/hp,https://purl.humanatlas.io/vocab/hp
