subject,predicate,object,category,knowledge_level,agent_type,primary_knowledge_source
HGNC:124,biolink:has_phenotype,HP:0005576,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:124,biolink:has_phenotype,HP:0012622,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:124,biolink:has_phenotype,HP:0000790,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:132,biolink:has_phenotype,HP:0000126,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:144,biolink:has_phenotype,HP:0000126,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:145,biolink:has_phenotype,HP:0000003,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:145,biolink:has_phenotype,HP:0000126,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:145,biolink:has_phenotype,HP:0000126,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:166,biolink:has_phenotype,HP:0003774,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:166,biolink:has_phenotype,HP:0003774,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:166,biolink:has_phenotype,HP:0000097,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:166,biolink:has_phenotype,HP:0000097,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:166,biolink:has_phenotype,HP:0004719,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:166,biolink:has_phenotype,HP:0005565,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:166,biolink:has_phenotype,HP:0012622,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:166,biolink:has_phenotype,HP:0001967,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:166,biolink:has_phenotype,HP:0012579,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:171,biolink:has_phenotype,HP:0000787,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:186,biolink:has_phenotype,HP:0000100,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:186,biolink:has_phenotype,HP:0001967,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:6188,biolink:has_phenotype,HP:0003774,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:6188,biolink:has_phenotype,HP:0008659,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:6188,biolink:has_phenotype,HP:0000089,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:6188,biolink:has_phenotype,HP:0000081,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:6188,biolink:has_phenotype,HP:0000097,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:6188,biolink:has_phenotype,HP:0000110,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:6188,biolink:has_phenotype,HP:0001947,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:6188,biolink:has_phenotype,HP:0001920,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:333,biolink:has_phenotype,HP:0008660,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:333,biolink:has_phenotype,HP:0100519,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
HGNC:336,biolink:has_phenotype,HP:0008660,biolink:EntityToDiseaseOrPhenotypicFeatureAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/vocab/hp
