id,name,symbol,category,provided_by
HGNC:124,ACP5,ACP5,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:132,ACTB,ACTB,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:144,ACTG1,ACTG1,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:145,ACTG2,ACTG2,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:166,ACTN4,ACTN4,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:171,ACVR1,ACVR1,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:186,ADA,ADA,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:6188,JAG1,JAG1,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:333,AGT,AGT,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:336,AGTR1,AGTR1,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:341,AGXT,AGXT,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:7960,NR0B1,NR0B1,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:391,AKT1,AKT1,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:414,ALDOA,ALDOA,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:417,ALDOB,ALDOB,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:430,ALOX12B,ALOX12B,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:438,ALPL,ALPL,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:583,APC,APC,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:360,AIRE,AIRE,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:592,XIAP,XIAP,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:600,APOA1,APOA1,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:603,APOB,APOB,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:613,APOE,APOE,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:626,APRT,APRT,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:11920,FAS,FAS,biolink:Gene,https://purl.humanatlas.io/vocab/hp
HGNC:11936,FASLG,FASLG,biolink:Gene,https://purl.humanatlas.io/vocab/hp
