subject,predicate,object,category,knowledge_level,agent_type,primary_knowledge_source
HGNC:10002,biolink:expressed_in,CL:0019018,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10249,biolink:expressed_in,CL:1000742,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10250,biolink:expressed_in,CL:1000850,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10473,biolink:expressed_in,CL:0000623,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10473,biolink:expressed_in,CL:0000814,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10498,biolink:expressed_in,CL:0000775,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10499,biolink:expressed_in,CL:0000775,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10527,biolink:expressed_in,CL:1000849,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10588,biolink:expressed_in,CL:1000768,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10602,biolink:expressed_in,CL:4030017,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10602,biolink:expressed_in,CL:1000768,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10602,biolink:expressed_in,CL:4030018,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10602,biolink:expressed_in,CL:1001431,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10602,biolink:expressed_in,CL:1000714,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10602,biolink:expressed_in,CL:1000716,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10630,biolink:expressed_in,CL:0000910,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10632,biolink:expressed_in,CL:0000910,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10832,biolink:expressed_in,CL:4030014,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10832,biolink:expressed_in,CL:1001107,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10910,biolink:expressed_in,CL:1001106,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10910,biolink:expressed_in,CL:1001109,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10910,biolink:expressed_in,CL:1001108,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10910,biolink:expressed_in,CL:1000850,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10912,biolink:expressed_in,CL:1000849,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10912,biolink:expressed_in,CL:4030016,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10912,biolink:expressed_in,CL:4030017,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10916,biolink:expressed_in,CL:0002306,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10918,biolink:expressed_in,CL:1001096,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10918,biolink:expressed_in,CL:1001099,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10918,biolink:expressed_in,CL:1001285,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10919,biolink:expressed_in,CL:4030012,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10919,biolink:expressed_in,CL:4030014,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10919,biolink:expressed_in,CL:1000718,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10929,biolink:expressed_in,CL:4030011,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10970,biolink:expressed_in,CL:4030009,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10970,biolink:expressed_in,CL:4030010,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10971,biolink:expressed_in,CL:4030011,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10972,biolink:expressed_in,CL:4030009,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:10972,biolink:expressed_in,CL:4030010,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11019,biolink:expressed_in,CL:4030009,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11019,biolink:expressed_in,CL:4030010,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11027,biolink:expressed_in,CL:4030020,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11027,biolink:expressed_in,CL:4030015,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11027,biolink:expressed_in,CL:1000715,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11027,biolink:expressed_in,CL:1000717,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11035,biolink:expressed_in,CL:4030021,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11035,biolink:expressed_in,NCIT:transitional-principal-intercalated-cell,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11035,biolink:expressed_in,CL:0002201,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11035,biolink:expressed_in,CL:1000715,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11037,biolink:expressed_in,CL:4030009,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11068,biolink:expressed_in,CL:4030017,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11068,biolink:expressed_in,CL:1000768,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11068,biolink:expressed_in,CL:4030019,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11068,biolink:expressed_in,CL:4030020,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11073,biolink:expressed_in,CL:4030013,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11255,biolink:expressed_in,CL:1001111,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11255,biolink:expressed_in,CL:4030012,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11509,biolink:expressed_in,CL:4030022,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11530,biolink:expressed_in,CL:4030012,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11530,biolink:expressed_in,CL:4030013,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
HGNC:11530,biolink:expressed_in,CL:4030014,biolink:GeneToEntityAssociation,knowledge_assertion,manual_agent,https://purl.humanatlas.io/collection/hra
