,subject,predicate,object,source
0,https://identifiers.org/hgnc/18233,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
1,https://identifiers.org/hgnc/9395,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
2,https://identifiers.org/hgnc/21030,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
3,https://identifiers.org/hgnc/25259,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
4,https://identifiers.org/hgnc/6473,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
5,https://identifiers.org/hgnc/13872,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
6,https://identifiers.org/hgnc/30279,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
7,https://identifiers.org/hgnc/29114,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
8,https://identifiers.org/hgnc/6923,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
9,https://identifiers.org/hgnc/9666,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
10,https://identifiers.org/hgnc/19341,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
11,https://identifiers.org/hgnc/6079,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
12,https://identifiers.org/hgnc/1585,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
13,https://identifiers.org/hgnc/1057,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
14,https://identifiers.org/hgnc/13176,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
15,https://identifiers.org/hgnc/25361,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
16,https://identifiers.org/hgnc/2988,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
17,https://identifiers.org/hgnc/8619,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
18,https://identifiers.org/hgnc/29146,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
19,https://identifiers.org/hgnc/16395,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
20,https://identifiers.org/hgnc/14467,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://purl.humanatlas.io/vocab/hp
21,https://identifiers.org/hgnc/946,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://purl.humanatlas.io/vocab/hp
22,https://identifiers.org/hgnc/17438,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://purl.humanatlas.io/vocab/hp
23,https://identifiers.org/hgnc/18266,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://purl.humanatlas.io/vocab/hp
24,https://identifiers.org/hgnc/7728,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://purl.humanatlas.io/vocab/hp
