phenotype_iri,phenotype_label,as_child,ct
http://purl.obolibrary.org/obo/HP_0000069,Abnormality of the ureter,http://purl.obolibrary.org/obo/UBERON_0000056,
http://purl.obolibrary.org/obo/HP_0000071,Ureteral stenosis,http://purl.obolibrary.org/obo/UBERON_0000056,
http://purl.obolibrary.org/obo/HP_0000072,Hydroureter,http://purl.obolibrary.org/obo/UBERON_0000056,
http://purl.obolibrary.org/obo/HP_0000073,Ureteral duplication,http://purl.obolibrary.org/obo/UBERON_0000056,
http://purl.obolibrary.org/obo/HP_0000075,Renal duplication,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000077,Abnormality of the kidney,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000078,Abnormality of the genital system,http://purl.obolibrary.org/obo/UBERON_0000990,
http://purl.obolibrary.org/obo/HP_0000079,Abnormality of the urinary system,http://purl.obolibrary.org/obo/UBERON_0001008,
http://purl.obolibrary.org/obo/HP_0000080,Abnormality of reproductive system physiology,http://purl.obolibrary.org/obo/UBERON_0000990,
http://purl.obolibrary.org/obo/HP_0000081,Duplicated collecting system,http://purl.obolibrary.org/obo/UBERON_0004100,
http://purl.obolibrary.org/obo/HP_0000083,Renal insufficiency,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000085,Horseshoe kidney,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000086,Ectopic kidney,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000089,Renal hypoplasia,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000091,Abnormal renal tubule morphology,http://purl.obolibrary.org/obo/UBERON_0001231,
http://purl.obolibrary.org/obo/HP_0000092,Renal tubular atrophy,http://purl.obolibrary.org/obo/UBERON_0001231,
http://purl.obolibrary.org/obo/HP_0000093,Proteinuria,http://purl.obolibrary.org/obo/UBERON_0001088,
http://purl.obolibrary.org/obo/HP_0000095,Abnormal renal glomerulus morphology,http://purl.obolibrary.org/obo/UBERON_0000074,
http://purl.obolibrary.org/obo/HP_0000096,Glomerular sclerosis,http://purl.obolibrary.org/obo/UBERON_0000074,
http://purl.obolibrary.org/obo/HP_0000098,Tall stature,http://purl.obolibrary.org/obo/UBERON_0000468,
http://purl.obolibrary.org/obo/HP_0000104,Renal agenesis,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000105,Enlarged kidney,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000107,Renal cyst,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000110,Renal dysplasia,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000113,Polycystic kidney dysplasia,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000119,Abnormality of the genitourinary system,http://purl.obolibrary.org/obo/UBERON_0004122,
http://purl.obolibrary.org/obo/HP_0000121,Nephrocalcinosis,http://purl.obolibrary.org/obo/UBERON_0008987,
http://purl.obolibrary.org/obo/HP_0000122,Unilateral renal agenesis,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000123,Nephritis,http://purl.obolibrary.org/obo/UBERON_0002113,
http://purl.obolibrary.org/obo/HP_0000124,Renal tubular dysfunction,http://purl.obolibrary.org/obo/UBERON_0001231,
http://purl.obolibrary.org/obo/HP_0000130,Abnormality of the uterus,http://purl.obolibrary.org/obo/UBERON_0000995,
http://purl.obolibrary.org/obo/HP_0000133,Gonadal dysgenesis,http://purl.obolibrary.org/obo/UBERON_0000991,
http://purl.obolibrary.org/obo/HP_0000134,Female hypogonadism,http://purl.obolibrary.org/obo/UBERON_0000992,
http://purl.obolibrary.org/obo/HP_0000135,Hypogonadism,http://purl.obolibrary.org/obo/UBERON_0000991,
http://purl.obolibrary.org/obo/HP_0000136,Bifid uterus,http://purl.obolibrary.org/obo/UBERON_0000995,
http://purl.obolibrary.org/obo/HP_0000137,Abnormality of the ovary,http://purl.obolibrary.org/obo/UBERON_0000992,
http://purl.obolibrary.org/obo/HP_0000138,Ovarian cyst,http://purl.obolibrary.org/obo/UBERON_0000992,
http://purl.obolibrary.org/obo/HP_0000139,Uterine prolapse,http://purl.obolibrary.org/obo/UBERON_0000995,
http://purl.obolibrary.org/obo/HP_0000142,Abnormal vagina morphology,http://purl.obolibrary.org/obo/UBERON_0000996,
http://purl.obolibrary.org/obo/HP_0000143,Rectovaginal fistula,http://purl.obolibrary.org/obo/UBERON_0000996,
http://purl.obolibrary.org/obo/HP_0000143,Rectovaginal fistula,http://purl.obolibrary.org/obo/UBERON_0001052,
http://purl.obolibrary.org/obo/HP_0000147,Polycystic ovaries,http://purl.obolibrary.org/obo/UBERON_0000992,
http://purl.obolibrary.org/obo/HP_0000148,Vaginal atresia,http://purl.obolibrary.org/obo/UBERON_0000996,
http://purl.obolibrary.org/obo/HP_0000151,Aplasia of the uterus,http://purl.obolibrary.org/obo/UBERON_0000995,
http://purl.obolibrary.org/obo/HP_0000152,Abnormality of head or neck,http://purl.obolibrary.org/obo/UBERON_0007811,
http://purl.obolibrary.org/obo/HP_0000153,Abnormality of the mouth,http://purl.obolibrary.org/obo/UBERON_0000165,
http://purl.obolibrary.org/obo/HP_0000154,Wide mouth,http://purl.obolibrary.org/obo/UBERON_0000165,
http://purl.obolibrary.org/obo/HP_0000157,Abnormality of the tongue,http://purl.obolibrary.org/obo/UBERON_0001723,
http://purl.obolibrary.org/obo/HP_0000158,Macroglossia,http://purl.obolibrary.org/obo/UBERON_0001723,
http://purl.obolibrary.org/obo/HP_0000159,Abnormal lip morphology,http://purl.obolibrary.org/obo/UBERON_0001833,
http://purl.obolibrary.org/obo/HP_0000160,Narrow mouth,http://purl.obolibrary.org/obo/UBERON_0000165,
http://purl.obolibrary.org/obo/HP_0000161,Median cleft upper lip,http://purl.obolibrary.org/obo/UBERON_0001833,
