iri,label,type,source
http://identifiers.org/hgnc/124,ACP5,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/124,ACP5,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/124,ACP5,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/132,ACTB,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/144,ACTG1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/145,ACTG2,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/145,ACTG2,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/145,ACTG2,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/166,ACTN4,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/166,ACTN4,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/166,ACTN4,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/166,ACTN4,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/166,ACTN4,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/166,ACTN4,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/166,ACTN4,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/166,ACTN4,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/166,ACTN4,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/171,ACVR1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/186,ADA,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/186,ADA,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/6188,JAG1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/6188,JAG1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/6188,JAG1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/6188,JAG1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/6188,JAG1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/6188,JAG1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/6188,JAG1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/6188,JAG1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/333,AGT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/333,AGT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/336,AGTR1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/336,AGTR1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/341,AGXT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/341,AGXT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/341,AGXT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/341,AGXT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/341,AGXT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/341,AGXT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/341,AGXT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/341,AGXT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/341,AGXT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/7960,NR0B1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/7960,NR0B1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/391,AKT1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/391,AKT1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/391,AKT1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/391,AKT1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/414,ALDOA,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/417,ALDOB,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/417,ALDOB,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/417,ALDOB,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/417,ALDOB,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/430,ALOX12B,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/438,ALPL,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/583,APC,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/583,APC,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/583,APC,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/583,APC,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/583,APC,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/360,AIRE,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/360,AIRE,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/592,XIAP,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/592,XIAP,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/600,APOA1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/600,APOA1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/600,APOA1,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/603,APOB,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/603,APOB,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/613,APOE,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/613,APOE,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/613,APOE,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/613,APOE,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/626,APRT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/626,APRT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/626,APRT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/626,APRT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/626,APRT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/626,APRT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/626,APRT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/626,APRT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/626,APRT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/626,APRT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/626,APRT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/626,APRT,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/11920,FAS,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/11920,FAS,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/11920,FAS,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/11920,FAS,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/11920,FAS,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/11936,FASLG,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/11936,FASLG,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/634,AQP2,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/634,AQP2,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/57,ABCC6,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/57,ABCC6,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/57,ABCC6,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/57,ABCC6,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/57,ABCC6,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/57,ABCC6,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/57,ABCC6,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/57,ABCC6,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/678,ARHGDIA,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/678,ARHGDIA,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/678,ARHGDIA,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/678,ARHGDIA,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/678,ARHGDIA,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/678,ARHGDIA,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/678,ARHGDIA,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/678,ARHGDIA,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
http://identifiers.org/hgnc/678,ARHGDIA,http://purl.bioontology.org/ontology/HGNC/gene,https://purl.humanatlas.io/vocab/hp
