HPO_IRI,HPO_Label,Property,Filler_IRI,Filler_Label,Obsolete,Replacement_IRI,Replacement_Label
http://purl.obolibrary.org/obo/HP_0000022,Abnormal male internal genitalia morphology,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000022,Abnormal male internal genitalia morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000022,Abnormal male internal genitalia morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000022,Abnormal male internal genitalia morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000023,Inguinal hernia,characteristic of,http://purl.obolibrary.org/obo/UBERON_0003697,abdominal wall,False,,
http://purl.obolibrary.org/obo/HP_0000023,Inguinal hernia,towards,http://purl.obolibrary.org/obo/UBERON_0006674,inguinal ring,False,,
http://purl.obolibrary.org/obo/HP_0000023,Inguinal hernia,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0003697,abdominal wall,False,,
http://purl.obolibrary.org/obo/HP_0000023,Inguinal hernia,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0001007,digestive system,False,,
http://purl.obolibrary.org/obo/HP_0000023,Inguinal hernia,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0002384,connective tissue,False,,
http://purl.obolibrary.org/obo/HP_0000024,Prostatitis,occurs in,http://purl.obolibrary.org/obo/UBERON_0002367,prostate gland,False,,
http://purl.obolibrary.org/obo/HP_0000024,Prostatitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0002367,prostate gland,False,,
http://purl.obolibrary.org/obo/HP_0000024,Prostatitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004054,internal male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000024,Prostatitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004175,internal genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000024,Prostatitis,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000024,Prostatitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000024,Prostatitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000024,Prostatitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000024,Prostatitis,characteristic of,http://purl.obolibrary.org/obo/UBERON_0002405,immune system,False,,
http://purl.obolibrary.org/obo/HP_0000024,Prostatitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0002405,immune system,False,,
http://purl.obolibrary.org/obo/HP_0000025,Functional abnormality of male internal genitalia,characteristic of,http://purl.obolibrary.org/obo/UBERON_0004054,internal male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000025,Functional abnormality of male internal genitalia,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000025,Functional abnormality of male internal genitalia,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000025,Functional abnormality of male internal genitalia,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000025,Functional abnormality of male internal genitalia,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000026,Male hypogonadism,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000473,testis,False,,
http://purl.obolibrary.org/obo/HP_0000026,Male hypogonadism,characteristic of,http://purl.obolibrary.org/obo/UBERON_0004054,internal male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000026,Male hypogonadism,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000026,Male hypogonadism,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000026,Male hypogonadism,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000026,Male hypogonadism,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000026,Male hypogonadism,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000991,gonad,False,,
http://purl.obolibrary.org/obo/HP_0000026,Male hypogonadism,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000949,endocrine system,False,,
http://purl.obolibrary.org/obo/HP_0000027,Azoospermia,existence ends during or before,http://purl.obolibrary.org/obo/UBERON_0000071,death stage,False,,
http://purl.obolibrary.org/obo/HP_0000027,Azoospermia,part of,http://purl.obolibrary.org/obo/UBERON_0001968,semen,False,,
http://purl.obolibrary.org/obo/HP_0000027,Azoospermia,characteristic of,http://purl.obolibrary.org/obo/UBERON_0004054,internal male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000027,Azoospermia,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000027,Azoospermia,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000027,Azoospermia,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000027,Azoospermia,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000028,Cryptorchidism,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000473,testis,False,,
http://purl.obolibrary.org/obo/HP_0000028,Cryptorchidism,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004053,external male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000028,Cryptorchidism,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004176,external genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000028,Cryptorchidism,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000028,Cryptorchidism,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000028,Cryptorchidism,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000028,Cryptorchidism,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000029,Testicular atrophy,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000473,testis,False,,
http://purl.obolibrary.org/obo/HP_0000029,Testicular atrophy,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004053,external male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000029,Testicular atrophy,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004176,external genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000029,Testicular atrophy,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000029,Testicular atrophy,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000029,Testicular atrophy,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000029,Testicular atrophy,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000030,Testicular gonadoblastoma,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004175,internal genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000030,Testicular gonadoblastoma,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000030,Testicular gonadoblastoma,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000030,Testicular gonadoblastoma,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000030,Testicular gonadoblastoma,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000473,testis,False,,
http://purl.obolibrary.org/obo/HP_0000030,Testicular gonadoblastoma,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004053,external male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000030,Testicular gonadoblastoma,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004176,external genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000030,Testicular gonadoblastoma,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000031,Epididymitis,occurs in,http://purl.obolibrary.org/obo/UBERON_0001301,epididymis,False,,
http://purl.obolibrary.org/obo/HP_0000031,Epididymitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0001301,epididymis,False,,
http://purl.obolibrary.org/obo/HP_0000031,Epididymitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004054,internal male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000031,Epididymitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004175,internal genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000031,Epididymitis,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000031,Epididymitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000031,Epididymitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000031,Epididymitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000031,Epididymitis,characteristic of,http://purl.obolibrary.org/obo/UBERON_0002405,immune system,False,,
http://purl.obolibrary.org/obo/HP_0000031,Epididymitis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0002405,immune system,False,,
http://purl.obolibrary.org/obo/HP_0000032,Abnormal male external genitalia morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004053,external male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000032,Abnormal male external genitalia morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004176,external genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000032,Abnormal male external genitalia morphology,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000032,Abnormal male external genitalia morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000032,Abnormal male external genitalia morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000032,Abnormal male external genitalia morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000033,"Ambiguous genitalia, male",characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004176,external genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000033,"Ambiguous genitalia, male",characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000033,"Ambiguous genitalia, male",characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000033,"Ambiguous genitalia, male",characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000033,"Ambiguous genitalia, male",characteristic of,http://purl.obolibrary.org/obo/UBERON_0003101,male organism,False,,
http://purl.obolibrary.org/obo/HP_0000033,"Ambiguous genitalia, male",characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004053,external male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000033,"Ambiguous genitalia, male",characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000034,Hydrocele testis,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000473,testis,False,,
http://purl.obolibrary.org/obo/HP_0000034,Hydrocele testis,towards,http://purl.obolibrary.org/obo/UBERON_0006314,bodily fluid,False,,
http://purl.obolibrary.org/obo/HP_0000034,Hydrocele testis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004053,external male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000034,Hydrocele testis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004176,external genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000034,Hydrocele testis,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000034,Hydrocele testis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000034,Hydrocele testis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000034,Hydrocele testis,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000035,Abnormal testis morphology,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000473,testis,False,,
http://purl.obolibrary.org/obo/HP_0000035,Abnormal testis morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004053,external male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000035,Abnormal testis morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004176,external genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000035,Abnormal testis morphology,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000035,Abnormal testis morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000035,Abnormal testis morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004122,genitourinary system,False,,
http://purl.obolibrary.org/obo/HP_0000035,Abnormal testis morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000036,Abnormal penis morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000989,penis,False,,
http://purl.obolibrary.org/obo/HP_0000036,Abnormal penis morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004053,external male genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000036,Abnormal penis morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0004176,external genitalia,False,,
http://purl.obolibrary.org/obo/HP_0000036,Abnormal penis morphology,characteristic of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
http://purl.obolibrary.org/obo/HP_0000036,Abnormal penis morphology,characteristic of part of,http://purl.obolibrary.org/obo/UBERON_0000990,reproductive system,False,,
