id	subject	predicate	object	category	agent_type	gene_expr	knowledge_level	knowledge_source	primary_knowledge_source	source
urn:uuid:028af6b5-effb-4ebc-a84f-8d11ed0ef5d6	CL:0000084	biolink:has_phenotype	HP:0031392	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:f553cef8-1e61-47ee-910a-fcd1171d72cf	CL:0000084	biolink:has_phenotype	HP:0031396	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:e169f76c-ec65-433c-9375-3c55d6025d52	CL:0000084	biolink:has_phenotype	HP:0031397	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:a37586ee-56e5-4945-b883-5b8dac052cbc	CL:0000084	biolink:has_phenotype	HP:0031398	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:20eef406-500f-4b95-a8aa-e9b2de32120e	CL:0000084	biolink:has_phenotype	HP:0031514	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:e9df7f99-8104-44c1-adb5-a6a9977c80ee	CL:0000084	biolink:has_phenotype	HP:0032182	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:c0194eb4-389b-4f45-92d6-721562d66ed8	CL:0000084	biolink:has_phenotype	HP:0011839	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:db43c4dc-1b72-4243-823c-4127729ecf4c	CL:0000084	biolink:has_phenotype	HP:0011840	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:137c63e2-4199-4296-9874-374f22093b8c	CL:0000084	biolink:has_phenotype	HP:0025620	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:c25a06ee-8474-4226-bbeb-74c0dd007eb5	CL:0000084	biolink:has_phenotype	HP:0025623	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:f273801a-b597-4d47-bc2e-1837f4ce312a	CL:0000084	biolink:has_phenotype	HP:0025624	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:c97542d1-a23a-4098-951d-8a3b25e6b636	CL:0000084	biolink:has_phenotype	HP:0025625	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:8dcf6fee-8a03-44b4-aa43-08c2e0b1f046	CL:0000084	biolink:has_phenotype	HP:0041080	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:d99b7906-a5ce-4793-b525-6d56113e861e	CL:0000084	biolink:has_phenotype	HP:0032183	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:a96c3603-a76e-4689-9894-2a2e2e6a3162	CL:0000084	biolink:has_phenotype	HP:0100828	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:5b1b1406-a0ad-40ff-981f-4c00c6006fd4	CL:0000084	biolink:has_phenotype	HP:0410384	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:fb0678da-6a1f-4514-b24e-fcbd745ab16a	CL:0000084	biolink:has_phenotype	HP:0410383	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:09833f2e-f87d-4909-bb05-58b77ed89c4f	CL:0000084	biolink:has_phenotype	HP:0410373	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:ef42eb66-141e-4e19-b8f6-88b6a03a2e9d	CL:0000084	biolink:has_phenotype	HP:0410385	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
urn:uuid:5e83ac6e-a7e7-4494-b6cb-99641d260640	CL:0000084	biolink:has_phenotype	HP:0410378	biolink:EntityToDiseaseOrPhenotypicFeatureAssociation	manual_agent		knowledge_assertion	hpo-asct-kidney-edges.csv		https://purl.humanatlas.io/vocab/hp
