id	category	name	provided_by	symbol
CL:0000057	biolink:Cell	fibroblast	https://purl.humanatlas.io/collection/hra	
HP:0410157	biolink:NamedThing		Graph	
CL:0000084	biolink:Cell	T cell	https://purl.humanatlas.io/graph/hra-pop	
HP:0002843	biolink:NamedThing		Graph	
HP:0005415	biolink:NamedThing		Graph	
HP:0005403	biolink:NamedThing		Graph	
HP:0020177	biolink:NamedThing		Graph	
HP:0032218	biolink:NamedThing		Graph	
HP:0032219	biolink:NamedThing		Graph	
HP:0031393	biolink:NamedThing		Graph	
HP:0031392	biolink:NamedThing		Graph	
HP:0031396	biolink:NamedThing		Graph	
HP:0031397	biolink:NamedThing		Graph	
HP:0031398	biolink:NamedThing		Graph	
HP:0031514	biolink:NamedThing		Graph	
HP:0032182	biolink:NamedThing		Graph	
HP:0011839	biolink:NamedThing		Graph	
HP:0011840	biolink:NamedThing		Graph	
HP:0025620	biolink:NamedThing		Graph	
HP:0025623	biolink:NamedThing		Graph	
HP:0025624	biolink:NamedThing		Graph	
HP:0025625	biolink:NamedThing		Graph	
HP:0041080	biolink:NamedThing		Graph	
HP:0032183	biolink:NamedThing		Graph	
HP:0100828	biolink:NamedThing		Graph	
HP:0410384	biolink:NamedThing		Graph	
HP:0410383	biolink:NamedThing		Graph	
HP:0410373	biolink:NamedThing		Graph	
HP:0410385	biolink:NamedThing		Graph	
HP:0410378	biolink:NamedThing		Graph	
HP:0410389	biolink:NamedThing		Graph	
HP:0410386	biolink:NamedThing		Graph	
HP:0410390	biolink:NamedThing		Graph	
HP:0410375	biolink:NamedThing		Graph	
HP:0410391	biolink:NamedThing		Graph	
HP:0410392	biolink:NamedThing		Graph	
HP:0410396	biolink:NamedThing		Graph	
HP:0410395	biolink:NamedThing		Graph	
HP:0410379	biolink:NamedThing		Graph	
HP:0410380	biolink:NamedThing		Graph	
HP:0500266	biolink:NamedThing		Graph	
HP:0500271	biolink:NamedThing		Graph	
HP:0500274	biolink:NamedThing		Graph	
HP:0500265	biolink:NamedThing		Graph	
HP:0500270	biolink:NamedThing		Graph	
HP:0500273	biolink:NamedThing		Graph	
CL:0000097	biolink:Cell	mast cell	https://purl.humanatlas.io/graph/hra-pop	
HP:0100494	biolink:NamedThing		Graph	
HP:0100495	biolink:NamedThing		Graph	
CL:0000236	biolink:Cell	B cell	https://purl.humanatlas.io/graph/hra-pop	
HP:0002846	biolink:NamedThing		Graph	
HP:0005372	biolink:NamedThing		Graph	
HP:0005404	biolink:NamedThing		Graph	
HP:0005365	biolink:NamedThing		Graph	
HP:0010976	biolink:NamedThing		Graph	
HP:0010975	biolink:NamedThing		Graph	
HP:0030376	biolink:NamedThing		Graph	
HP:0030386	biolink:NamedThing		Graph	
HP:0030370	biolink:NamedThing		Graph	
HP:0030373	biolink:NamedThing		Graph	
HP:0030383	biolink:NamedThing		Graph	
HP:0030379	biolink:NamedThing		Graph	
HP:0030372	biolink:NamedThing		Graph	
HP:0030378	biolink:NamedThing		Graph	
HP:0030374	biolink:NamedThing		Graph	
HP:0030388	biolink:NamedThing		Graph	
HP:0030380	biolink:NamedThing		Graph	
HP:0030384	biolink:NamedThing		Graph	
HP:0030371	biolink:NamedThing		Graph	
HP:0030377	biolink:NamedThing		Graph	
HP:0030375	biolink:NamedThing		Graph	
HP:0030387	biolink:NamedThing		Graph	
HP:0030385	biolink:NamedThing		Graph	
HP:0030381	biolink:NamedThing		Graph	
HP:0032127	biolink:NamedThing		Graph	
HP:0032124	biolink:NamedThing		Graph	
HP:0032126	biolink:NamedThing		Graph	
HP:0032129	biolink:NamedThing		Graph	
HP:0032128	biolink:NamedThing		Graph	
HP:0032184	biolink:NamedThing		Graph	
CL:0000576	biolink:Cell	monocyte	https://purl.humanatlas.io/collection/hra	
HP:0012144	biolink:NamedThing		Graph	
HP:0012310	biolink:NamedThing		Graph	
HP:0012312	biolink:NamedThing		Graph	
HP:0012311	biolink:NamedThing		Graph	
CL:0000623	biolink:Cell	natural killer cell	https://purl.humanatlas.io/collection/hra	
HP:0012176	biolink:NamedThing		Graph	
HP:0012177	biolink:NamedThing		Graph	
HP:0040089	biolink:NamedThing		Graph	
HP:0040219	biolink:NamedThing		Graph	
HP:0040218	biolink:NamedThing		Graph	
CL:0000738	biolink:Cell	leukocyte	https://purl.humanatlas.io/collection/hra	
HP:0001882	biolink:NamedThing		Graph	
HP:0001881	biolink:NamedThing		Graph	
HP:0001974	biolink:NamedThing		Graph	
HP:0001876	biolink:NamedThing		Graph	
HP:0004852	biolink:NamedThing		Graph	
HP:0008318	biolink:NamedThing		Graph	
HP:0008161	biolink:NamedThing		Graph	
HP:0011893	biolink:NamedThing		Graph	
HP:0410183	biolink:NamedThing		Graph	
HP:0410190	biolink:NamedThing		Graph	
HP:0410191	biolink:NamedThing		Graph	
CL:0000775	biolink:Cell	neutrophil	https://purl.humanatlas.io/graph/hra-pop	
HP:0001875	biolink:NamedThing		Graph	
HP:0001874	biolink:NamedThing		Graph	
HP:0005400	biolink:NamedThing		Graph	
HP:0011990	biolink:NamedThing		Graph	
HP:0011992	biolink:NamedThing		Graph	
HP:0011991	biolink:NamedThing		Graph	
HP:0012085	biolink:NamedThing		Graph	
HP:0041044	biolink:NamedThing		Graph	
HP:0410310	biolink:NamedThing		Graph	
UBERON:0000074	biolink:GrossAnatomicalStructure	renal glomerulus	https://purl.humanatlas.io/collection/hra	
HP:0000096	biolink:PhenotypicFeature	Glomerular sclerosis	https://purl.humanatlas.io/vocab/hp	
HP:0000095	biolink:PhenotypicFeature	Abnormal renal glomerulus morphology	https://purl.humanatlas.io/vocab/hp	
HP:0030162	biolink:PhenotypicFeature	Glomerulomegaly	https://purl.humanatlas.io/vocab/hp	
UBERON:0000362	biolink:GrossAnatomicalStructure	renal medulla	https://purl.humanatlas.io/collection/hra	
HP:0100957	biolink:PhenotypicFeature	Abnormal renal medulla morphology	https://purl.humanatlas.io/vocab/hp	
UBERON:0001225	biolink:GrossAnatomicalStructure	cortex of kidney	https://purl.humanatlas.io/collection/hra	
HP:0002048	biolink:PhenotypicFeature	Renal cortical atrophy	https://purl.humanatlas.io/vocab/hp	
HP:0000803	biolink:PhenotypicFeature	Renal cortical cysts	https://purl.humanatlas.io/vocab/hp	
HP:0011035	biolink:PhenotypicFeature	Abnormal renal cortex morphology	https://purl.humanatlas.io/vocab/hp	
HP:0025418	biolink:NamedThing		Graph	
UBERON:0001228	biolink:GrossAnatomicalStructure	renal papilla	https://purl.humanatlas.io/graph/hra-pop	
HP:0032632	biolink:NamedThing		Graph	
UBERON:0001231	biolink:GrossAnatomicalStructure	nephron tubule	https://purl.humanatlas.io/collection/hra	
HP:0000124	biolink:PhenotypicFeature	Renal tubular dysfunction	https://purl.humanatlas.io/vocab/hp	
HP:0000092	biolink:PhenotypicFeature	Renal tubular atrophy	https://purl.humanatlas.io/vocab/hp	
HP:0000091	biolink:PhenotypicFeature	Abnormal renal tubule morphology	https://purl.humanatlas.io/vocab/hp	
UBERON:0001285	biolink:GrossAnatomicalStructure	nephron	https://purl.humanatlas.io/collection/hra	
