id	category	name	provided_by	symbol
HP:0005563	biolink:PhenotypicFeature	Decreased numbers of nephrons	https://purl.humanatlas.io/vocab/hp	
HP:0012575	biolink:NamedThing		Graph	
UBERON:0002113	biolink:GrossAnatomicalStructure	kidney	https://purl.humanatlas.io/graph/hra-pop	
HP:0000799	biolink:PhenotypicFeature	Renal steatosis	https://purl.humanatlas.io/vocab/hp	
HP:0000122	biolink:PhenotypicFeature	Unilateral renal agenesis	https://purl.humanatlas.io/vocab/hp	
HP:0000110	biolink:PhenotypicFeature	Renal dysplasia	https://purl.humanatlas.io/vocab/hp	
HP:0000107	biolink:PhenotypicFeature	Renal cyst	https://purl.humanatlas.io/vocab/hp	
HP:0000104	biolink:PhenotypicFeature	Renal agenesis	https://purl.humanatlas.io/vocab/hp	
HP:0000089	biolink:PhenotypicFeature	Renal hypoplasia	https://purl.humanatlas.io/vocab/hp	
HP:0000113	biolink:PhenotypicFeature	Polycystic kidney dysplasia	https://purl.humanatlas.io/vocab/hp	
HP:0000083	biolink:PhenotypicFeature	Renal insufficiency	https://purl.humanatlas.io/vocab/hp	
HP:0000075	biolink:PhenotypicFeature	Renal duplication	https://purl.humanatlas.io/vocab/hp	
HP:0000123	biolink:PhenotypicFeature	Nephritis	https://purl.humanatlas.io/vocab/hp	
HP:0000085	biolink:PhenotypicFeature	Horseshoe kidney	https://purl.humanatlas.io/vocab/hp	
HP:0000105	biolink:PhenotypicFeature	Enlarged kidney	https://purl.humanatlas.io/vocab/hp	
HP:0000086	biolink:PhenotypicFeature	Ectopic kidney	https://purl.humanatlas.io/vocab/hp	
HP:0000077	biolink:NamedThing		Graph	
HP:0004712	biolink:PhenotypicFeature	Renal malrotation	https://purl.humanatlas.io/vocab/hp	
HP:0008696	biolink:PhenotypicFeature	Renal hamartoma	https://purl.humanatlas.io/vocab/hp	
HP:0008717	biolink:NamedThing		Graph	
HP:0008718	biolink:PhenotypicFeature	Unilateral renal dysplasia	https://purl.humanatlas.io/vocab/hp	
HP:0010680	biolink:NamedThing		Graph	
HP:0010685	biolink:NamedThing		Graph	
HP:0010958	biolink:PhenotypicFeature	Bilateral renal agenesis	https://purl.humanatlas.io/vocab/hp	
HP:0012210	biolink:PhenotypicFeature	Abnormal renal morphology	https://purl.humanatlas.io/vocab/hp	
HP:0012211	biolink:PhenotypicFeature	Abnormal renal physiology	https://purl.humanatlas.io/vocab/hp	
HP:0012585	biolink:PhenotypicFeature	Renal atrophy	https://purl.humanatlas.io/vocab/hp	
HP:0012586	biolink:PhenotypicFeature	Bilateral renal atrophy	https://purl.humanatlas.io/vocab/hp	
HP:0032620	biolink:NamedThing		Graph	
HP:0100542	biolink:PhenotypicFeature	Abnormal localization of kidney	https://purl.humanatlas.io/vocab/hp	
UBERON:0002319	biolink:GrossAnatomicalStructure	mesangium	https://purl.humanatlas.io/collection/hra	
HP:0001966	biolink:PhenotypicFeature	Abnormal glomerular mesangium morphology	https://purl.humanatlas.io/vocab/hp	
HP:0012574	biolink:PhenotypicFeature	Mesangial hypercellularity	https://purl.humanatlas.io/vocab/hp	
UBERON:0004100	biolink:GrossAnatomicalStructure	renal collecting system	https://purl.humanatlas.io/collection/hra	
HP:0000081	biolink:PhenotypicFeature	Duplicated collecting system	https://purl.humanatlas.io/vocab/hp	
HP:0004742	biolink:PhenotypicFeature	Abnormal renal collecting system morphology	https://purl.humanatlas.io/vocab/hp	
UBERON:0001229	biolink:GrossAnatomicalStructure	renal corpuscle	https://purl.humanatlas.io/collection/hra	
UBERON:0001232	biolink:GrossAnatomicalStructure	collecting duct of renal tubule	https://purl.humanatlas.io/collection/hra	
UBERON:0001294	biolink:GrossAnatomicalStructure	inner medulla of kidney	https://purl.humanatlas.io/collection/hra	
UBERON:0001986	biolink:GrossAnatomicalStructure	endothelium	https://purl.humanatlas.io/collection/hra	
UBERON:0002015	biolink:GrossAnatomicalStructure	kidney capsule	https://purl.humanatlas.io/graph/hra-pop	
UBERON:0002042	biolink:GrossAnatomicalStructure	lymphatic vessel endothelium	https://purl.humanatlas.io/collection/hra	
UBERON:0003517	biolink:GrossAnatomicalStructure	kidney blood vessel	https://purl.humanatlas.io/collection/hra	
UBERON:0003527	biolink:GrossAnatomicalStructure	kidney capillary	https://purl.humanatlas.io/collection/hra	
UBERON:0004188	biolink:GrossAnatomicalStructure	glomerular epithelium	https://purl.humanatlas.io/collection/hra	
UBERON:0004190	biolink:GrossAnatomicalStructure	renal glomerulus vasculature	https://purl.humanatlas.io/collection/hra	
UBERON:0004200	biolink:GrossAnatomicalStructure	kidney pyramid	https://purl.humanatlas.io/graph/hra-pop	
UBERON:0004203	biolink:GrossAnatomicalStructure	cortical collecting duct	https://purl.humanatlas.io/collection/hra	
UBERON:0004205	biolink:GrossAnatomicalStructure	inner medullary collecting duct	https://purl.humanatlas.io/collection/hra	
UBERON:0004212	biolink:GrossAnatomicalStructure	glomerular capillary	https://purl.humanatlas.io/collection/hra	
UBERON:0004294	biolink:GrossAnatomicalStructure	glomerular capillary endothelium	https://purl.humanatlas.io/collection/hra	
UBERON:0004538	biolink:GrossAnatomicalStructure	left kidney	https://purl.humanatlas.io/collection/hra	
UBERON:0004539	biolink:GrossAnatomicalStructure	right kidney	https://purl.humanatlas.io/collection/hra	
UBERON:0004639	biolink:GrossAnatomicalStructure	renal afferent arteriole	https://purl.humanatlas.io/collection/hra	
UBERON:0005215	biolink:GrossAnatomicalStructure	kidney interstitium	https://purl.humanatlas.io/collection/hra	
UBERON:0006544	biolink:GrossAnatomicalStructure	kidney vasculature	https://purl.humanatlas.io/collection/hra	
UBERON:0009883	biolink:GrossAnatomicalStructure	medullary ray	https://purl.humanatlas.io/collection/hra	
HGNC:124	biolink:Gene	ACP5	https://purl.humanatlas.io/graph/hra-pop	ACP5
HGNC:132	biolink:Gene	ACTB	https://purl.humanatlas.io/graph/hra-pop	ACTB
HGNC:144	biolink:Gene	ACTG1	https://purl.humanatlas.io/graph/hra-pop	ACTG1
HGNC:145	biolink:Gene	ACTG2	https://purl.humanatlas.io/graph/hra-pop	ACTG2
HGNC:166	biolink:Gene	ACTN4	https://purl.humanatlas.io/graph/hra-pop	ACTN4
HGNC:171	biolink:Gene	ACVR1	https://purl.humanatlas.io/vocab/hp	ACVR1
HGNC:186	biolink:Gene	ADA	https://purl.humanatlas.io/graph/hra-pop	ADA
HGNC:6188	biolink:Gene	JAG1	https://purl.humanatlas.io/graph/hra-pop	JAG1
HGNC:333	biolink:Gene	AGT	https://purl.humanatlas.io/graph/hra-pop	AGT
HGNC:336	biolink:Gene	AGTR1	https://purl.humanatlas.io/graph/hra-pop	AGTR1
HGNC:341	biolink:Gene	AGXT	https://purl.humanatlas.io/graph/hra-pop	AGXT
HGNC:7960	biolink:Gene	NR0B1	https://purl.humanatlas.io/vocab/hp	NR0B1
HGNC:391	biolink:Gene	AKT1	https://purl.humanatlas.io/vocab/hp	AKT1
HGNC:414	biolink:Gene	ALDOA	https://purl.humanatlas.io/graph/hra-pop	ALDOA
HGNC:417	biolink:Gene	ALDOB	https://purl.humanatlas.io/graph/hra-pop	ALDOB
HGNC:430	biolink:Gene	ALOX12B	https://purl.humanatlas.io/vocab/hp	ALOX12B
HGNC:438	biolink:Gene	ALPL	https://purl.humanatlas.io/vocab/hp	ALPL
HGNC:583	biolink:Gene	APC	https://purl.humanatlas.io/graph/hra-pop	APC
HGNC:360	biolink:Gene	AIRE	https://purl.humanatlas.io/vocab/hp	AIRE
HGNC:592	biolink:Gene	XIAP	https://purl.humanatlas.io/vocab/hp	XIAP
HGNC:600	biolink:Gene	APOA1	https://purl.humanatlas.io/graph/hra-pop	APOA1
HGNC:603	biolink:Gene	APOB	https://purl.humanatlas.io/vocab/hp	APOB
HGNC:613	biolink:Gene	APOE	https://purl.humanatlas.io/graph/hra-pop	APOE
HGNC:626	biolink:Gene	APRT	https://purl.humanatlas.io/graph/hra-pop	APRT
HGNC:11920	biolink:Gene	FAS	https://purl.humanatlas.io/graph/hra-pop	FAS
HGNC:11936	biolink:Gene	FASLG	https://purl.humanatlas.io/vocab/hp	FASLG
HGNC:634	biolink:Gene	AQP2	https://purl.humanatlas.io/graph/hra-pop	AQP2
HGNC:57	biolink:Gene	ABCC6	https://purl.humanatlas.io/graph/hra-pop	ABCC6
HGNC:678	biolink:Gene	ARHGDIA	https://purl.humanatlas.io/graph/hra-pop	ARHGDIA
HGNC:694	biolink:Gene	ARL3	https://purl.humanatlas.io/graph/hra-pop	ARL3
HGNC:11425	biolink:Gene	STS	https://purl.humanatlas.io/graph/hra-pop	STS
HGNC:728	biolink:Gene	ARVCF	https://purl.humanatlas.io/vocab/hp	ARVCF
HGNC:746	biolink:Gene	ASL	https://purl.humanatlas.io/vocab/hp	ASL
HGNC:795	biolink:Gene	ATM	https://purl.humanatlas.io/graph/hra-pop	ATM
HGNC:9965	biolink:Gene	RERE	https://purl.humanatlas.io/graph/hra-pop	RERE
HGNC:799	biolink:Gene	ATP1A1	https://purl.humanatlas.io/graph/hra-pop	ATP1A1
HGNC:4026	biolink:Gene	FXYD2	https://purl.humanatlas.io/graph/hra-pop	FXYD2
HGNC:823	biolink:Gene	ATP5F1A	https://purl.humanatlas.io/graph/hra-pop	ATP5F1A
HGNC:837	biolink:Gene	ATP5F1D	https://purl.humanatlas.io/graph/hra-pop	ATP5F1D
HGNC:838	biolink:Gene	ATP5F1E	https://purl.humanatlas.io/graph/hra-pop	ATP5F1E
HGNC:853	biolink:Gene	ATP6V1B1	https://purl.humanatlas.io/graph/hra-pop	ATP6V1B1
HGNC:854	biolink:Gene	ATP6V1B2	https://purl.humanatlas.io/graph/hra-pop	ATP6V1B2
HGNC:857	biolink:Gene	ATP6V1E1	https://purl.humanatlas.io/graph/hra-pop	ATP6V1E1
HGNC:869	biolink:Gene	ATP7A	https://purl.humanatlas.io/vocab/hp	ATP7A
HGNC:870	biolink:Gene	ATP7B	https://purl.humanatlas.io/vocab/hp	ATP7B
HGNC:886	biolink:Gene	ATRX	https://purl.humanatlas.io/graph/hra-pop	ATRX
HGNC:897	biolink:Gene	AVPR2	https://purl.humanatlas.io/graph/hra-pop	AVPR2
HGNC:914	biolink:Gene	B2M	https://purl.humanatlas.io/graph/hra-pop	B2M
HGNC:959	biolink:Gene	BAX	https://purl.humanatlas.io/graph/hra-pop	BAX
HGNC:966	biolink:Gene	BBS1	https://purl.humanatlas.io/vocab/hp	BBS1
HGNC:967	biolink:Gene	BBS2	https://purl.humanatlas.io/vocab/hp	BBS2
HGNC:969	biolink:Gene	BBS4	https://purl.humanatlas.io/graph/hra-pop	BBS4
HGNC:1582	biolink:Gene	CCND1	https://purl.humanatlas.io/graph/hra-pop	CCND1
HGNC:1020	biolink:Gene	BCS1L	https://purl.humanatlas.io/vocab/hp	BCS1L
HGNC:1037	biolink:Gene	CFB	https://purl.humanatlas.io/vocab/hp	CFB
HGNC:1057	biolink:Gene	BLK	https://purl.humanatlas.io/graph/hra-pop	BLK
HGNC:1058	biolink:Gene	BLM	https://purl.humanatlas.io/vocab/hp	BLM
HGNC:1071	biolink:Gene	BMP4	https://purl.humanatlas.io/vocab/hp	BMP4
HGNC:1076	biolink:Gene	BMPR1A	https://purl.humanatlas.io/vocab/hp	BMPR1A
HGNC:1100	biolink:Gene	BRCA1	https://purl.humanatlas.io/vocab/hp	BRCA1
HGNC:1097	biolink:Gene	BRAF	https://purl.humanatlas.io/graph/hra-pop	BRAF
HGNC:1101	biolink:Gene	BRCA2	https://purl.humanatlas.io/graph/hra-pop	BRCA2
HGNC:1148	biolink:Gene	BUB1	https://purl.humanatlas.io/vocab/hp	BUB1
HGNC:1149	biolink:Gene	BUB1B	https://purl.humanatlas.io/vocab/hp	BUB1B
HGNC:1243	biolink:Gene	C1QBP	https://purl.humanatlas.io/graph/hra-pop	C1QBP
HGNC:1241	biolink:Gene	C1QA	https://purl.humanatlas.io/graph/hra-pop	C1QA
HGNC:1247	biolink:Gene	C1S	https://purl.humanatlas.io/graph/hra-pop	C1S
HGNC:1318	biolink:Gene	C3	https://purl.humanatlas.io/graph/hra-pop	C3
HGNC:1323	biolink:Gene	C4A	https://purl.humanatlas.io/graph/hra-pop	C4A
HGNC:1324	biolink:Gene	C4B	https://purl.humanatlas.io/vocab/hp	C4B
HGNC:1181	biolink:Gene	MYRF	https://purl.humanatlas.io/graph/hra-pop	MYRF
HGNC:1373	biolink:Gene	CA2	https://purl.humanatlas.io/graph/hra-pop	CA2
HGNC:1391	biolink:Gene	CACNA1D	https://purl.humanatlas.io/graph/hra-pop	CACNA1D
HGNC:1397	biolink:Gene	CACNA1S	https://purl.humanatlas.io/vocab/hp	CACNA1S
HGNC:1421	biolink:Gene	SLC25A20	https://purl.humanatlas.io/vocab/hp	SLC25A20
HGNC:1424	biolink:Gene	CAD	https://purl.humanatlas.io/vocab/hp	CAD
HGNC:1455	biolink:Gene	CALR	https://purl.humanatlas.io/graph/hra-pop	CALR
HGNC:1460	biolink:Gene	CAMK2A	https://purl.humanatlas.io/vocab/hp	CAMK2A
HGNC:1500	biolink:Gene	CASP10	https://purl.humanatlas.io/vocab/hp	CASP10
HGNC:1514	biolink:Gene	CASR	https://purl.humanatlas.io/graph/hra-pop	CASR
HGNC:1527	biolink:Gene	CAV1	https://purl.humanatlas.io/graph/hra-pop	CAV1
HGNC:1541	biolink:Gene	CBL	https://purl.humanatlas.io/graph/hra-pop	CBL
HGNC:1546	biolink:Gene	SERPINH1	https://purl.humanatlas.io/graph/hra-pop	SERPINH1
HGNC:1583	biolink:Gene	CCND2	https://purl.humanatlas.io/graph/hra-pop	CCND2
HGNC:1665	biolink:Gene	SCARB2	https://purl.humanatlas.io/graph/hra-pop	SCARB2
HGNC:1701	biolink:Gene	CD81	https://purl.humanatlas.io/graph/hra-pop	CD81
HGNC:1630	biolink:Gene	CD151	https://purl.humanatlas.io/graph/hra-pop	CD151
HGNC:1736	biolink:Gene	CDC42	https://purl.humanatlas.io/graph/hra-pop	CDC42
HGNC:1773	biolink:Gene	CDK4	https://purl.humanatlas.io/graph/hra-pop	CDK4
HGNC:1777	biolink:Gene	CDK6	https://purl.humanatlas.io/graph/hra-pop	CDK6
HGNC:1784	biolink:Gene	CDKN1A	https://purl.humanatlas.io/graph/hra-pop	CDKN1A
HGNC:1785	biolink:Gene	CDKN1B	https://purl.humanatlas.io/vocab/hp	CDKN1B
HGNC:1786	biolink:Gene	CDKN1C	https://purl.humanatlas.io/graph/hra-pop	CDKN1C
HGNC:1787	biolink:Gene	CDKN2A	https://purl.humanatlas.io/vocab/hp	CDKN2A
HGNC:1788	biolink:Gene	CDKN2B	https://purl.humanatlas.io/vocab/hp	CDKN2B
HGNC:1789	biolink:Gene	CDKN2C	https://purl.humanatlas.io/vocab/hp	CDKN2C
HGNC:1848	biolink:Gene	CEL	https://purl.humanatlas.io/vocab/hp	CEL
HGNC:1856	biolink:Gene	CENPE	https://purl.humanatlas.io/graph/hra-pop	CENPE
HGNC:1857	biolink:Gene	CENPF	https://purl.humanatlas.io/graph/hra-pop	CENPF
HGNC:1884	biolink:Gene	CFTR	https://purl.humanatlas.io/graph/hra-pop	CFTR
HGNC:1815	biolink:Gene	CEACAM3	https://purl.humanatlas.io/vocab/hp	CEACAM3
HGNC:1919	biolink:Gene	CHD4	https://purl.humanatlas.io/graph/hra-pop	CHD4
HGNC:1937	biolink:Gene	CHKA	https://purl.humanatlas.io/graph/hra-pop	CHKA
HGNC:1943	biolink:Gene	CHN1	https://purl.humanatlas.io/graph/hra-pop	CHN1
HGNC:1952	biolink:Gene	CHRM3	https://purl.humanatlas.io/graph/hra-pop	CHRM3
HGNC:1957	biolink:Gene	CHRNA3	https://purl.humanatlas.io/vocab/hp	CHRNA3
HGNC:1974	biolink:Gene	CHUK	https://purl.humanatlas.io/vocab/hp	CHUK
HGNC:3439	biolink:Gene	ERCC8	https://purl.humanatlas.io/graph/hra-pop	ERCC8
HGNC:565	biolink:Gene	AP2S1	https://purl.humanatlas.io/vocab/hp	AP2S1
HGNC:2021	biolink:Gene	CLCN3	https://purl.humanatlas.io/graph/hra-pop	CLCN3
HGNC:2023	biolink:Gene	CLCN5	https://purl.humanatlas.io/graph/hra-pop	CLCN5
HGNC:2025	biolink:Gene	CLCN7	https://purl.humanatlas.io/graph/hra-pop	CLCN7
HGNC:2026	biolink:Gene	CLCNKA	https://purl.humanatlas.io/graph/hra-pop	CLCNKA
HGNC:2027	biolink:Gene	CLCNKB	https://purl.humanatlas.io/graph/hra-pop	CLCNKB
HGNC:1602	biolink:Gene	CCR1	https://purl.humanatlas.io/graph/hra-pop	CCR1
HGNC:1607	biolink:Gene	CCR6	https://purl.humanatlas.io/vocab/hp	CCR6
HGNC:2201	biolink:Gene	COL3A1	https://purl.humanatlas.io/graph/hra-pop	COL3A1
HGNC:2202	biolink:Gene	COL4A1	https://purl.humanatlas.io/graph/hra-pop	COL4A1
HGNC:2204	biolink:Gene	COL4A3	https://purl.humanatlas.io/graph/hra-pop	COL4A3
HGNC:2206	biolink:Gene	COL4A4	https://purl.humanatlas.io/graph/hra-pop	COL4A4
HGNC:2207	biolink:Gene	COL4A5	https://purl.humanatlas.io/graph/hra-pop	COL4A5
HGNC:2208	biolink:Gene	COL4A6	https://purl.humanatlas.io/vocab/hp	COL4A6
HGNC:2211	biolink:Gene	COL6A1	https://purl.humanatlas.io/graph/hra-pop	COL6A1
HGNC:2214	biolink:Gene	COL7A1	https://purl.humanatlas.io/graph/hra-pop	COL7A1
HGNC:2228	biolink:Gene	COMT	https://purl.humanatlas.io/graph/hra-pop	COMT
HGNC:2230	biolink:Gene	COPA	https://purl.humanatlas.io/graph/hra-pop	COPA
HGNC:2280	biolink:Gene	COX6B1	https://purl.humanatlas.io/graph/hra-pop	COX6B1
HGNC:2260	biolink:Gene	COX10	https://purl.humanatlas.io/vocab/hp	COX10
HGNC:2263	biolink:Gene	COX15	https://purl.humanatlas.io/graph/hra-pop	COX15
HGNC:2321	biolink:Gene	CPOX	https://purl.humanatlas.io/vocab/hp	CPOX
HGNC:2328	biolink:Gene	CPT1A	https://purl.humanatlas.io/graph/hra-pop	CPT1A
HGNC:2330	biolink:Gene	CPT2	https://purl.humanatlas.io/vocab/hp	CPT2
HGNC:2336	biolink:Gene	CR2	https://purl.humanatlas.io/vocab/hp	CR2
HGNC:2348	biolink:Gene	CREBBP	https://purl.humanatlas.io/graph/hra-pop	CREBBP
HGNC:2500	biolink:Gene	CCN2	https://purl.humanatlas.io/graph/hra-pop	CCN2
HGNC:2501	biolink:Gene	CTH	https://purl.humanatlas.io/vocab/hp	CTH
HGNC:2505	biolink:Gene	CTLA4	https://purl.humanatlas.io/vocab/hp	CTLA4
HGNC:2518	biolink:Gene	CTNS	https://purl.humanatlas.io/vocab/hp	CTNS
HGNC:2514	biolink:Gene	CTNNB1	https://purl.humanatlas.io/graph/hra-pop	CTNNB1
HGNC:2571	biolink:Gene	CYB561	https://purl.humanatlas.io/vocab/hp	CYB561
HGNC:2602	biolink:Gene	CYP24A1	https://purl.humanatlas.io/graph/hra-pop	CYP24A1
HGNC:2701	biolink:Gene	DCC	https://purl.humanatlas.io/graph/hra-pop	DCC
HGNC:2707	biolink:Gene	ACE	https://purl.humanatlas.io/vocab/hp	ACE
HGNC:2717	biolink:Gene	DDB1	https://purl.humanatlas.io/graph/hra-pop	DDB1
HGNC:2747	biolink:Gene	DDX6	https://purl.humanatlas.io/graph/hra-pop	DDX6
HGNC:2860	biolink:Gene	DHCR7	https://purl.humanatlas.io/vocab/hp	DHCR7
HGNC:2859	biolink:Gene	DHCR24	https://purl.humanatlas.io/graph/hra-pop	DHCR24
HGNC:2890	biolink:Gene	DKC1	https://purl.humanatlas.io/graph/hra-pop	DKC1
HGNC:2911	biolink:Gene	DLST	https://purl.humanatlas.io/vocab/hp	DLST
HGNC:2932	biolink:Gene	DMP1	https://purl.humanatlas.io/vocab/hp	DMP1
HGNC:2939	biolink:Gene	DNA2	https://purl.humanatlas.io/vocab/hp	DNA2
HGNC:2956	biolink:Gene	DNASE1	https://purl.humanatlas.io/graph/hra-pop	DNASE1
HGNC:2959	biolink:Gene	DNASE1L3	https://purl.humanatlas.io/graph/hra-pop	DNASE1L3
HGNC:2960	biolink:Gene	DNASE2	https://purl.humanatlas.io/graph/hra-pop	DNASE2
HGNC:2978	biolink:Gene	DNMT3A	https://purl.humanatlas.io/vocab/hp	DNMT3A
HGNC:3003	biolink:Gene	DPH1	https://purl.humanatlas.io/vocab/hp	DPH1
HGNC:3004	biolink:Gene	DPH2	https://purl.humanatlas.io/vocab/hp	DPH2
