graph,triples
https://purl.humanatlas.io/collection/hra,2120944
https://purl.humanatlas.io/collection/hra-api,2006982
https://purl.humanatlas.io/graph/ccf,557123
https://purl.humanatlas.io/graph/hra-kidney-disease-atlas,459090
https://purl.humanatlas.io/vocab/cl,99013
https://purl.humanatlas.io/vocab/hp,903078
https://purl.humanatlas.io/vocab/uberon,1181703
