class,count
http://purl.bioontology.org/ontology/HGNC/gene,12439
http://purl.obolibrary.org/obo/HP_0000118,193
http://id.nlm.nih.gov/mesh/D004194,87
http://purl.obolibrary.org/obo/CL_0000000,85
http://id.nlm.nih.gov/mesh/D007674,85
http://purl.obolibrary.org/obo/MONDO_0000001,77
http://purl.obolibrary.org/obo/DOID_4,76
http://purl.obolibrary.org/obo/UBERON_0000061,71
